Дата,Время,Тип события,Температура детали,Температура в камере,Температура диссоциатора,Давление в камере,Расход азота,Расход аммиака,Расход аргона
04.07.2018,09:33:21,Включен нагрев диссоциатора,21.31072,20.92385,82.63613,3.1505,#NaN,-0.04,0.6585
04.07.2018,09:33:21,Включен насос,21.31072,20.92385,82.63613,3.1505,#NaN,-0.04,0.6585
04.07.2018,09:33:21,Открыт клапан откачки камеры Ду25,21.31072,20.92385,82.63613,3.1505,#NaN,-0.04,0.6585
04.07.2018,09:33:22,,21.31072,20.92385,0.0,3.1505,#NaN,-0.04,0.6585
04.07.2018,09:33:24,,21.36597,20.92385,0.0,3.134,#NaN,-0.04,0.657
04.07.2018,09:33:26,,21.36597,20.98653,0.0,3.129,#NaN,-0.04,0.6580001
04.07.2018,09:33:28,,21.42862,20.98653,0.0,3.129,#NaN,-0.04,0.6580001
04.07.2018,09:33:29,,21.42862,20.98653,0.0,3.121,#NaN,-0.04,0.6590001
04.07.2018,09:33:31,,21.42862,20.92385,0.0,3.121,#NaN,-0.04,0.6590001
04.07.2018,09:33:33,,21.42862,20.92385,0.0,3.121,#NaN,-0.04,0.6590001
04.07.2018,09:33:35,,21.42862,20.98653,0.0,3.101,#NaN,-0.04,0.657
04.07.2018,09:33:37,,21.42862,20.98653,0.0,3.101,#NaN,-0.04,0.657
04.07.2018,09:33:38,,21.42862,20.98653,0.0,3.0805,#NaN,-0.04,0.6565001
04.07.2018,09:33:40,,21.42862,20.98653,0.0,3.0765,#NaN,-0.04,0.657
04.07.2018,09:33:42,,21.42862,20.98653,0.0,3.0735,#NaN,-0.04,0.6585
04.07.2018,09:33:44,,21.49127,21.0492,0.0,3.0675,#NaN,-0.04,0.6575001
04.07.2018,09:33:46,,21.49127,21.0492,0.0,3.0675,#NaN,-0.04,0.6575001
04.07.2018,09:33:47,,21.49127,20.98653,0.0,3.0675,#NaN,-0.04,0.6575001
04.07.2018,09:33:49,,21.49127,20.98653,0.0,3.0675,#NaN,-0.04,0.6575001
04.07.2018,09:33:51,,21.49127,21.11188,0.0,3.041,#NaN,-0.04,0.6575001
04.07.2018,09:33:53,,21.43602,21.11188,0.0,3.033,#NaN,-0.04,0.6585
04.07.2018,09:33:55,,21.43602,21.11188,0.0,3.033,#NaN,-0.04,0.6585
04.07.2018,09:33:56,,21.43602,21.0492,0.0,3.033,#NaN,-0.04,0.6585
04.07.2018,09:33:58,,21.43602,21.0492,0.0,3.033,#NaN,-0.04,0.6585
04.07.2018,09:34:00,,21.49127,21.0492,0.0,3.033,#NaN,-0.04,0.6585
04.07.2018,09:34:02,,21.49127,21.0492,0.0,3.007,#NaN,-0.04,0.6575001
04.07.2018,09:34:04,,21.49127,21.0492,0.0,2.9995,#NaN,-0.04,0.6575001
04.07.2018,09:34:05,,21.49127,21.0492,0.0,2.9995,#NaN,-0.04,0.6575001
04.07.2018,09:34:07,,21.49127,21.0492,0.0,2.9905,#NaN,-0.04,0.6565001
04.07.2018,09:34:09,,21.55393,21.11188,0.0,2.9905,#NaN,-0.04,0.6565001
04.07.2018,09:34:11,,21.55393,21.11188,0.0,2.9905,#NaN,-0.04,0.6565001
04.07.2018,09:34:13,,21.43602,21.11188,0.0,2.97,#NaN,-0.04,0.657
04.07.2018,09:34:14,,21.43602,21.11188,0.0,2.9665,#NaN,-0.04,0.6580001
04.07.2018,09:34:16,,21.43602,21.11188,0.0,2.9665,#NaN,-0.04,0.6580001
04.07.2018,09:34:18,,21.55393,21.11188,0.0,2.9665,#NaN,-0.04,0.6580001
04.07.2018,09:34:20,,21.55393,21.11188,0.0,2.9665,#NaN,-0.04,0.6580001
04.07.2018,09:34:22,,21.55393,21.11188,0.0,2.945,#NaN,-0.04,0.6580001
04.07.2018,09:34:23,,21.55393,21.11188,0.0,2.9405,#NaN,-0.04,0.6575001
04.07.2018,09:34:25,,21.61658,21.11188,0.0,2.9405,#NaN,-0.04,0.6575001
04.07.2018,09:34:27,,21.61658,21.11188,0.0,2.9405,#NaN,-0.04,0.6575001
04.07.2018,09:34:29,,21.61658,21.17456,0.0,2.925,#NaN,-0.04,0.6575001
04.07.2018,09:34:31,,21.61658,21.17456,0.0,2.923,#NaN,-0.04,0.6585
04.07.2018,09:34:32,,21.61658,21.17456,0.0,2.915,#NaN,-0.04,0.6585
04.07.2018,09:34:34,,21.61658,21.17456,0.0,2.915,#NaN,-0.04,0.6585
04.07.2018,09:34:36,,21.61658,21.17456,0.0,2.915,#NaN,-0.04,0.6585
04.07.2018,09:34:38,,21.61658,21.17456,0.0,2.9015,#NaN,-0.04,0.6585
04.07.2018,09:34:40,,21.61658,21.17456,0.0,2.8955,#NaN,-0.04,0.657
04.07.2018,09:34:41,,21.61658,21.17456,0.0,2.8955,#NaN,-0.04,0.657
04.07.2018,09:34:43,,21.67923,21.17456,0.0,2.886,#NaN,-0.04,0.657
04.07.2018,09:34:45,,21.67923,21.17456,0.0,2.886,#NaN,-0.04,0.657
04.07.2018,09:34:47,,21.61658,21.17456,0.0,2.886,#NaN,-0.04,0.657
04.07.2018,09:34:49,,21.61658,21.17456,0.0,2.886,#NaN,-0.04,0.657
04.07.2018,09:34:50,,21.61658,21.17456,0.0,2.8705,#NaN,-0.04,0.6585
04.07.2018,09:34:52,,21.61658,21.23724,0.0,2.863,#NaN,-0.04,0.6575001
04.07.2018,09:34:54,,21.62399,21.23724,0.0,2.8595,#NaN,-0.04,0.657
04.07.2018,09:34:56,,21.62399,21.23724,0.0,2.8555,#NaN,-0.04,0.6565001
04.07.2018,09:34:58,,21.67923,21.23724,0.0,2.854,#NaN,-0.04,0.6575001
04.07.2018,09:34:59,,21.67923,21.23724,0.0,2.854,#NaN,-0.04,0.6575001
04.07.2018,09:35:01,,21.67923,21.23724,0.0,2.854,#NaN,-0.04,0.6575001
04.07.2018,09:35:03,,21.67923,21.29991,0.0,2.837,#NaN,-0.04,0.657
04.07.2018,09:35:05,,21.67923,21.29991,0.0,2.837,#NaN,-0.04,0.657
04.07.2018,09:35:07,,21.67923,21.23724,0.0,2.837,#NaN,-0.04,0.657
04.07.2018,09:35:08,,21.67923,21.23724,0.0,2.8245,#NaN,-0.04,0.6565001
04.07.2018,09:35:10,,21.67923,21.29991,0.0,2.8245,#NaN,-0.04,0.6565001
04.07.2018,09:35:12,,21.68664,21.29991,0.0,2.819,#NaN,-0.04,0.657
04.07.2018,09:35:14,,21.68664,21.29991,0.0,2.813,#NaN,-0.04,0.657
04.07.2018,09:35:16,,21.74188,21.29991,0.0,2.8105,#NaN,-0.04,0.6580001
04.07.2018,09:35:17,,21.74188,21.29991,0.0,2.8105,#NaN,-0.04,0.6580001
04.07.2018,09:35:19,,21.68664,21.29991,0.0,2.8105,#NaN,-0.04,0.6580001
04.07.2018,09:35:21,,21.68664,21.29991,0.0,2.795,#NaN,-0.04,0.6565001
04.07.2018,09:35:23,,21.68664,21.29991,0.0,2.795,#NaN,-0.04,0.6565001
04.07.2018,09:35:25,,21.68664,21.29991,0.0,2.795,#NaN,-0.04,0.6565001
04.07.2018,09:35:26,,21.68664,21.29991,0.0,2.783,#NaN,-0.04,0.657
04.07.2018,09:35:28,,21.68664,21.29991,0.0,2.783,#NaN,-0.04,0.657
04.07.2018,09:35:30,,21.68664,21.29991,0.0,2.7795,#NaN,-0.04,0.6585
04.07.2018,09:35:32,,21.68664,21.36259,0.0,2.773,#NaN,-0.04,0.6565001
04.07.2018,09:35:34,,21.68664,21.36259,0.0,2.77,#NaN,-0.04,0.657
04.07.2018,09:35:35,,21.7493,21.36259,0.0,2.7645,#NaN,-0.04,0.657
04.07.2018,09:35:37,,21.7493,21.36259,0.0,2.763,#NaN,-0.04,0.6590001
04.07.2018,09:35:39,,21.7493,21.36259,0.0,2.759,#NaN,-0.04,0.6565001
04.07.2018,09:35:41,,21.68664,21.36259,0.0,2.759,#NaN,-0.04,0.6565001
04.07.2018,09:35:43,,21.68664,21.42526,0.0,2.759,#NaN,-0.04,0.6565001
04.07.2018,09:35:44,,21.7493,21.42526,0.0,2.749,#NaN,-0.04,0.657
04.07.2018,09:35:46,,21.7493,21.42526,0.0,2.744,#NaN,-0.04,0.657
04.07.2018,09:35:48,,21.81194,21.42526,0.0,2.744,#NaN,-0.04,0.657
04.07.2018,09:35:50,,21.81194,21.42526,0.0,2.744,#NaN,-0.04,0.657
04.07.2018,09:35:52,,21.81194,21.42526,0.0,2.744,#NaN,-0.04,0.657
04.07.2018,09:35:53,,21.81194,21.42526,0.0,2.7325,#NaN,-0.04,0.6590001
04.07.2018,09:35:55,,21.8746,21.42526,0.0,2.7285,#NaN,-0.04,0.657
04.07.2018,09:35:57,,21.8746,21.42526,0.0,2.723,#NaN,-0.04,0.657
04.07.2018,09:35:59,,21.8746,21.42526,0.0,2.723,#NaN,-0.04,0.657
04.07.2018,09:36:01,,21.8746,21.42526,0.0,2.717,#NaN,-0.04,0.657
04.07.2018,09:36:02,,21.8746,21.42526,0.0,2.717,#NaN,-0.04,0.657
04.07.2018,09:36:04,,21.8746,21.42526,0.0,2.7115,#NaN,-0.04,0.657
04.07.2018,09:36:06,,21.80453,21.42526,0.0,2.7075,#NaN,-0.04,0.6575001
04.07.2018,09:36:08,,21.80453,21.42526,0.0,2.7045,#NaN,-0.04,0.6575001
04.07.2018,09:36:10,,21.86718,21.42526,0.0,2.699,#NaN,-0.04,0.657
04.07.2018,09:36:11,,21.86718,21.42526,0.0,2.699,#NaN,-0.04,0.657
04.07.2018,09:36:13,,21.92983,21.42526,0.0,2.695,#NaN,-0.04,0.657
04.07.2018,09:36:15,,21.92983,21.48794,0.0,2.6925,#NaN,-0.04,0.6585
04.07.2018,09:36:17,,21.8746,21.48794,0.0,2.6885,#NaN,-0.04,0.6575001
04.07.2018,09:36:19,,21.8746,21.48794,0.0,2.6865,#NaN,-0.04,0.6585
04.07.2018,09:36:20,,21.8746,21.48794,0.0,2.6815,#NaN,-0.04,0.6580001
04.07.2018,09:36:22,,21.8746,21.48794,0.0,2.6795,#NaN,-0.04,0.6575001
04.07.2018,09:36:24,,21.8746,21.48794,0.0,2.674,#NaN,-0.04,0.657
04.07.2018,09:36:26,,21.92983,21.48794,0.0,2.674,#NaN,-0.04,0.657
04.07.2018,09:36:28,,21.92983,21.48794,0.0,2.67,#NaN,-0.04,0.657
04.07.2018,09:36:29,,21.92983,21.48794,0.0,2.668,#NaN,-0.04,0.657
04.07.2018,09:36:31,,21.92983,21.48794,0.0,2.668,#NaN,-0.04,0.657
04.07.2018,09:36:33,,21.92983,21.60586,0.0,2.6615,#NaN,-0.04,0.6575001
04.07.2018,09:36:35,,21.92983,21.60586,0.0,2.6575,#NaN,-0.04,0.657
04.07.2018,09:36:37,,21.92983,21.48794,0.0,2.6565,#NaN,-0.04,0.6575001
