Дата,Время,Тип события,Температура детали,Температура в камере,Температура диссоциатора,Давление в камере,Расход азота,Расход аммиака,Расход аргона
27.06.2018,11:07:01,,39.63043,162.0,53.4992,0.006,0.006,0.006,0.009500001
27.06.2018,11:07:03,,39.63043,162.0,53.4992,0.005500001,0.005500001,0.006,0.009000001
27.06.2018,11:07:05,,39.63043,162.0,53.4992,0.005000001,0.005000001,0.005000001,0.008000001
27.06.2018,11:07:07,,39.62251,171.0,53.4992,0.005000001,0.004500001,0.005000001,0.0085
27.06.2018,11:07:08,,39.62251,171.0,53.4992,0.005000001,0.004500001,0.005000001,0.008000001
27.06.2018,11:07:10,,39.79378,0.0,53.4992,0.006,0.0065,0.0065,0.009500001
27.06.2018,11:07:12,,39.79378,0.0,53.4992,0.005000001,0.005000001,0.005000001,0.0085
27.06.2018,11:07:14,,39.95711,0.0,53.4992,0.005000001,0.005000001,0.005000001,0.0085
27.06.2018,11:07:16,,39.95711,0.0,53.4992,0.0065,0.0065,0.0065,0.009500001
27.06.2018,11:07:17,,39.95711,0.0,53.4992,0.005000001,0.005000001,0.005000001,0.009000001
27.06.2018,11:07:19,,40.01155,0.0,53.4992,0.005500001,0.005000001,0.005500001,0.009000001
27.06.2018,11:07:21,,40.01155,0.0,53.4992,0.005500001,0.005000001,0.005500001,0.009000001
27.06.2018,11:07:23,,40.00364,0.0,53.4992,0.0065,0.006,0.006,0.009500001
27.06.2018,11:07:25,,40.00364,0.0,53.4992,0.005000001,0.005000001,0.005000001,0.0085
27.06.2018,11:07:26,,40.00364,0.0,53.4992,0.006,0.0065,0.0065,0.010500001
27.06.2018,11:07:28,,40.00364,0.0,53.56113,0.005000001,0.005000001,0.005000001,0.0085
27.06.2018,11:07:30,,40.00364,0.0,53.56113,0.005000001,0.005000001,0.005000001,0.0085
27.06.2018,11:07:32,,40.06599,0.0,53.4992,0.005000001,0.005000001,0.005000001,0.0085
27.06.2018,11:07:34,,40.06599,0.0,53.4992,0.004500001,0.005000001,0.005000001,0.0085
27.06.2018,11:07:35,,40.06599,0.0,53.4992,0.0065,0.006,0.006,0.010500001
